Year,Month,Day,Event,Type,Major?
2025,1,8,IAL January Exams,IAL,1
2025,1,14,Oxford Offer Released,UK Interview,0
2025,1,16,IAL October Results,IAL,0
2025,1,30,Cambridge Offer Released,UK Interview,0
2025,3,6,IAL January Results,IAL,0
2025,5,6,IAL June Exams,IAL,1
2025,5,13,UCAT Account Creation Opens,UCAT,0
2025,6,17,UCAT Booking Opens,UCAT,0
2025,7,7,UCAT Test Starts,UCAT,0
2025,8,14,IAL June Results,IAL,0
2025,9,19,UCAT Booking Deadline,UCAT,0
2025,9,26,UCAT Last Test Day,UCAT,0
2025,9,27,HKU Start Application,HKU,0
2025,10,2,CUHK Start Application,CUHK,0
2025,10,8,IAL October Exams,IAL,1
2025,10,15,UCAS Deadline,UK Interview,0
2025,10,19,CUHK Information Day,CUHK,0
2025,11,1,US University EA Deadline,US Interview,0
2025,11,14,CUHK Application Deadline 1st round,CUHK,0
2025,11,27,HKU Application Deadline 1st round,HKU,0
2025,12,1,HKU Submit All Documents 1st round,HKU,0
2025,12,19,HKU and CUHK Medicine Interview 1st round,HKU CUHK,1
2025,12,20,HKU MBBS Interview 1st round,HKU,1
2025,12,31,HKSES Application Deadline,UK Interview,0
2026,1,1,UK University DA Deadline,US Interview,0
2026,1,2,HKU Pharmacy Interview 1st round,HKU,1
2026,1,3,HKU Pharmacy Interview 1st round,HKU,1
2026,1,8,IAL January Exams,IAL,1
2026,1,8,CUHK Application Deadline 2nd round,CUHK,0
